order_number,box_number
be35924799d0a1b179795420378981820722fd6681eed43ed71d743532cb3088,SP-106
05c9ae40ad96a5ab0a527129afbf4a5b28d7bfc82007961f0d7e217ee8f0389d,SP-108
643b1bc23521958d9bdd730c85bef211ebc3d11bd9368211fdd969e3ab032837,SP-108
3c802d480297fa530dc5b5fec5f433f889292dbf1b06cd0513925945cb14121f,SP-108
6d247174bdc59099f90ff22883d0649aa3abadbbf7abbec0cb819f786cdd9d5d,SP-1001
63a88c4aad013742d8e65752b8498fb31159d4a0c65cbd30ec042555c179431e,SP-106
bcd68611cf199d53dd1e4a7a947a3d45a17783c3f32c179e9fe105134f834b44,SP-108
81d68687b3b80e43549769ffd11946c04d767cb615ed5e29328dce1acb14ea8f,SP-108
3a9a9d2b1b15af2db4d5b66f20a9cbf376712addd5aae602aafdb93818c62a92,SP-108
84144c7287328b08cd07a5ef82ac49e55109d92d9fb490c7e4f9fb5230080830,SP-115
e6c7dce5c374c03776782837120730e50c930ee11017d861e1f5de76bc5fdb45,SP-106
c3290f9d4f1bd79a06f629fe0ad52e5ccf0b54cef2cecd2a0dd4bb902903ab40,SP-114
954dd920a03871dfc51dadbe4fbc685bc1ebcc0a1314f7c50ed768f9ed6275a8,SP-108
be9b9d5c1ff33d6ea55bc44d8147899c67f39195285cf59dba9651d1a0f99e3c,SP-106
b0d233324ee3873697aad9743e880e1a490cee0a16fd98ad2015c8b15d56b66d,SP-115
16e80f3bae043c45d67c4f70d68e82a4fa926b13564d0afb5bd96d8f371e7273,SP-108
caff696d4fa956719cf8e8f866b7cad32d33611497103cdd8b78597051f1217f,SP-108
292b6734eba48fb2b8903876eea06d111e992a1a110443dc8166a9c41b5f86ca,SP-108
7f19a193ccf399a01ca6fcb3f506fdbd24eff552e2a51498519ad91d286769bc,SP-109
21bc79f2f5df47d46cc7b0dbb395f3980e8c2982bb2c67a88071c97de529f87b,SP-108
029dfc7ce26a9e520a532d238b5a8d406ff8fa83e8873f015c44b9c85f268a87,UNFITTED
7d0cad588a6fcd96569fbe939e3f62b32139edefedcbe689124817b628570bed,SP-106
7e4d07453e78edcbfc0f4d035f992ced51fed893099d79c9686679b60316edb8,SP-106
97f16cf73efa86d1deb89910e52ca852d39c427e509e08ef7e27745660b7d2ab,SP-106
a20e5ac88adb9a5485b101d111ba6c86de240b04e22e5c6f360d6b5422b28e52,SP-114
8f96e23eadccf66c6b810c7167141bc69f9bb46eb259cc03738fe6e05de78a0c,SP-108
59d23ca3ff336d2e5501639a598f89bf6dc3e0d03fa1a584571841f3ca70f072,SP-113
